dataset,dataset_spec,model,random_state,n_samples,n_features,n_classes,n_bits,rho,ds_source,ds_n_samples,ds_n_features,ds_n_classes,ari_train,ami_train,ari_test,ami_test,train_time_s,pred_time_s,n_clusters,memory_bits,variant,n_train,n_test,status,error,traceback,ds_uci_id
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,1,0.25,ucimlrepo,4601,57,2,0.0937154209888902,0.1292525980579157,-0.0188965069133645,0.0274744865980441,0.0048640461172908,0.0015629660338163,3,21888.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,1,0.5,ucimlrepo,4601,57,2,-0.0202554477509353,0.0565039684498649,-0.0185975281522477,0.0635499713027688,0.0347163199912756,0.0154943859670311,66,481536.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,1,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0162176951274121,0.0634867098703166,0.8772293459624052,0.561989993788302,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,1,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0162176951274121,0.0634867098703166,0.8738001470919698,0.5590787080582231,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,4,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0089061670005321,0.0062202280387282,1,29184.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,4,0.25,ucimlrepo,4601,57,2,0.0290051825555324,0.0116404050514524,0.0415401466410451,0.0571892761355352,0.0105900529997597,0.007379310000033,2,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,4,0.5,ucimlrepo,4601,57,2,0.0161774107836625,0.0629772555274567,0.0108843379538486,0.0882497504553598,0.5263361919205636,0.3835775030311197,320,9338880.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,4,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0099083959255318,0.081660432225766,3.1310678960289806,2.884933474007994,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,4,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0099083959255318,0.081660432225766,3.140844631008804,2.7612771762069315,2300,67123200.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,8,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0176948488224297,0.0089054259005934,1,58368.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,8,0.25,ucimlrepo,4601,57,2,0.048577531165857,0.0321605975168869,0.0340881532994647,0.0265539798336494,0.021843034075573,0.0135187250562012,3,175104.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,8,0.5,ucimlrepo,4601,57,2,0.0204320034608883,0.059449102839177,0.0188614477489757,0.099862585697018,2.9103871809784323,2.479252231074497,1022,59652096.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,8,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0163791193975197,0.0843152866373615,7.417869322001934,8.524869007989764,2300,134246400.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,8,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0163791193975197,0.0843152866373615,6.680047154892236,6.1639713710173965,2300,134246400.0,binary,2300,2301,ok,,,94.0
